canonical_vi,canonical_en,parent_vi,parent_en,keywords
"Công nghệ thông tin & Phần mềm","IT & Software","Công nghệ","Technology","it|cong nghe thong tin|cntt|phan mem|software|it services|it consulting|software products|web services|software development|it hardware|computing|phan cung|mang"
"Dữ liệu & Phân tích","Data & Analytics","Công nghệ","Technology","data science|khoa hoc du lieu|data analytics|phan tich du lieu|business analytics|business intelligence|tri tue kinh doanh|\bbi\b|analytics|analysis|data engineering|ky thuat du lieu|machine learning|hoc may|artificial intelligence|tri tue nhan tao|\bai\b|big data|data mining|data visualization|truc quan hoa du lieu|data architect|data quality|data warehouse|etl|dbms|database|sql|thong ke|statistics"
"An ninh mạng & Bảo mật","Cybersecurity","Công nghệ","Technology","cybersecurity|an ninh mang|bao mat|information security|network security|computer security|penetration testing|vulnerability|firewall|intrusion detection|threat intelligence|security operations|incident response|ciso|identity management|access control|authentication|encryption|cryptography|zero trust"
"Tài chính / Ngân hàng / Bảo hiểm","Finance / Banking / Insurance","Tài chính","Finance","ngan hang|tai chinh|financial services|banking|insurance|bao hiem|chung khoan|securities|dau tu|investment|fintech|risk management|actuarial|underwriting|claims|policy|coverage|liability"
"Kinh doanh / Bán hàng","Sales & Business Development","Kinh doanh","Business","kinh doanh|ban hang|sales|business development|account executive|account manager|phat trien thi truong|telesales|kinh doanh quoc te|dai ly|phan phoi|sales engineer|ky su kinh doanh|merchandiser"
"Marketing & Truyền thông","Marketing & Communications","Kinh doanh","Business","marketing|truyen thong|quang cao|digital marketing|branding|advertising|\bpr\b|promotion|content|copywriter|social media|event|to chuc su kien|bao chi|media|public relations"
"Thương mại điện tử & Bán lẻ","E-commerce & Retail","Kinh doanh","Business","thuong mai dien tu|e-commerce|ban le|ban si|retail|ecommerce|shopping|online marketplace|digital marketplace|shopee|lazada|tiki|tiktok shop|wholesale"
"Sản xuất & Công nghiệp","Manufacturing & Industrial","Công nghiệp","Industry","san xuat|manufacturing|production|factory|industrial|cong nghiep|tu dong hoa|det may|may mac|giay dep|da giay|in an|packaging|bao bi"
"Kỹ thuật / Cơ khí / Điện & Điện tử","Engineering / Mechanics / Electronics","Công nghiệp","Industry","co khi|may moc|thiet bi cong nghiep|ky thuat|engineering|mechanical|electrical|electronics|dien tu|dien lanh|mechatronics|co dien|m&e|vba|cad|cam|cae"
"Bất động sản & Xây dựng","Real Estate & Construction","Công nghiệp","Industry","bat dong san|real estate|property|housing|construction|xay dung|kien truc|architect|noi that|interior design|cho thue|dia oc"
"Vận tải & Logistics","Transportation & Logistics","Công nghiệp","Industry","van tai|transportation|logistics|hau can|giao nhan|warehouse|kho van|shipping|supply chain|chuoi cung ung|nhap khau|xuat khau|import|export|customs|thong quan|freight|maritime|hang hai"
"Y tế / Dược phẩm / Chăm sóc sức khỏe","Healthcare & Pharmaceutical","Y tế","Healthcare","y te|suc khoe|healthcare|medical|pharmaceutical|hospital|health|medicine|thiet bi y te|duoc pham|\bbio\b|biotechnology|biopharma|clinical research|life sciences|molecular biology|genetics|y duoc|bac si|dieu duong"
"Năng lượng / Môi trường / Tiện ích","Energy / Environment / Utilities","Công nghiệp","Industry","\bdien\b|nang luong|energy|\boil\b|\bgas\b|dau khi|khai khoang|renewable|solar|wind|power|san xuat va phan phoi dien|khi dot|nuoc|utilities|environmental|moi truong|waste management|recycling|sustainability|geology|dia chat"
"Hàng tiêu dùng (FMCG)","Consumer Goods (FMCG)","Kinh doanh","Business","\bfood\b|hang tieu dung|fmcg|consumer goods|thuc pham|do uong|hang gia dung|my pham|trang suc|thoi trang|dan nhan"
"Giáo dục & Đào tạo","Education & Training","Dịch vụ","Services","giao duc|dao tao|education|training|academic|university|college|giang day|teaching|tu van du hoc|library|thu vien"
"Khách sạn & Du lịch","Hospitality & Tourism","Dịch vụ","Services","dich vu luu tru|nha hang|khach san|du lich|hospitality|tourism|restaurant|hotel|f&b|am thuc|an uong|tourist|travel|chef"
"Ô tô & Xe cộ","Automotive","Công nghiệp","Industry","\bo to\b|automotive|\bcar\b|vehicle|xe may|phu tung"
"Viễn thông","Telecommunications","Công nghệ","Technology","vien thong|telecommunications|telecom|networking|mobile|wireless|\bisp\b"
"Kế toán & Kiểm toán","Accounting & Auditing","Tài chính","Finance","ke toan|kiem toan|accounting|auditing|bookkeeping|\bthue\b|\btax\b"
"Nhân sự","Human Resources","Dịch vụ","Services","nhan su|human resources|\bhr\b|recruitment|tuyen dung|headhunt|luong thuong|payroll|benefit"
"Hành chính & Văn phòng","Administration & Office","Dịch vụ","Services","hanh chinh|van phong|thu ky|tro ly|administration|office|clerical|le tan|receptionist|\bpa\b|\bea\b|bi thu"
"Quản lý / Điều hành","Management & Executive","Dịch vụ","Services","quan ly dieu hanh|\bceo\b|director|executive|manager|leader|truong phong|pho phong|quan ly|management|trinh duoc vien"
"Tư vấn & Chăm sóc khách hàng","Consulting & Customer Service","Dịch vụ","Services","tu van|cham soc khach hang|consulting|customer service|support|\bservice\b|help desk|advisory|consultant|call center"
"Nghệ thuật & Thiết kế","Arts, Design & Entertainment","Dịch vụ","Services","\bgame\b|nghe thuat|thiet ke|giai tri|arts|design|entertainment|graphic|creative|sang tao|am nhac|music|phim|movie|video|photography|nhiep anh"
"Dịch vụ pháp lý","Legal Services","Dịch vụ","Services","\blegal\b|\blaw\b|\bluat\b|lawyer|attorney|phap ly|phap che|court|judicial|solicitor|phap luat"
"Ngôn ngữ / Biên phiên dịch","Languages / Translation","Dịch vụ","Services","ngon ngu|bien phien dich|translator|interpreter|translation|interpretation|tieng anh|tieng nhat|tieng trung|tieng han|english|japanese|chinese|korean|linguistics"
"Nông nghiệp / Lâm nghiệp / Thủy sản","Agriculture / Forestry / Fishery","Công nghiệp","Industry","nong nghiep|lam nghiep|thuy san|agriculture|forestry|farming|agritech|nuoi trong|hai san|fishery|animal husbandry|veterinary|thu y|thuy loi|irrigation"
"Hàng không & Quốc phòng","Aerospace & Defense","Công nghiệp","Industry","aerospace|aviation|defense|aircraft|hang khong|\bbay\b|quan su|military|pilot|phi cong"
"Làm đẹp & Chăm sóc cá nhân","Beauty & Personal Care","Dịch vụ","Services","\bspa\b|lam dep|beauty|tham my|salon|fitness|\bgym\b|the hinh|personal care"
"Lao động phổ thông / Bảo vệ","Unskilled Workers & Security","Dịch vụ","Services","lao dong pho thong|unskilled|manual labor|cong nhan|worker|security|bao ve|ve si|giup viec|domestic helper|cleaning|tap vu"
"Chính phủ & Tổ chức phi lợi nhuận","Government & NGO","Khu vực công","Public Sector","chinh phu|\bngo\b|government|public sector|administrative|phi chinh phu|to chuc quoc te|non-profit"
